"Subject","Start Date","All day event","Description","Show time as"
"CW* Almanac and Lectionary 2023-24","03/12/2023",TRUE,"Common Worship Almanac and Lectionary
for the year beginning Advent Sunday 2023

Compiled by Simon Kershaw October 2023
from the Common Worship Calendar and Lectionaries
using Almanac Maker

compilation (c) Simon Kershaw 2023
Almanac Maker (c) Simon Kershaw 2010-2023

The Revised Common Lectionary is copyright (c) the Consultation on Common Texts 1992.

The Daily Eucharistic Lectionary is adapted from the Ordo Lectionum Missae of the Roman Catholic Church, reproduced by permission of the International Commission on English in the Liturgy.

Adaptations and additions to the RCL and the DEL, together with Second and Third Service lectionaries and the Weekday Lectionary for Morning and Evening Prayer are copyright (c) the Archbishops' Council 1997-2010.

The Additional Weekday Lectionary is copyright (c) the Archbishops' Council 2010.

A Lectionary and Additional Collects for Holy Communion [BCP] originates in the 1928 BCP and the BCP according to the use of India, Pakistan, Burma and Ceylon (1960) and was authorized in the Church of England in 1965.

version 2024-1.3
15 November 2023
https://almanac.oremus.org/lectionary

",3
"CW* Advent 1","03/12/2023",TRUE,"The First Sunday of Advent

https://almanac.oremus.org/2023-12-03

Principal Service
Isaiah 64.1-9
Psalm 80.1-8, 18-20*
1 Corinthians 1.3-9
Mark 13.24-37

Third Service
Psalm 44
Isaiah 2.1-5
Luke 12.35-48

Second Service
Psalm 25*
Isaiah 1.1-20
Matthew 21.1-13

",3
"CW John of Damascus, c.749; Nicholas Ferrar, 1637","04/12/2023",TRUE,"John of Damascus, Monk, Teacher of the Faith, c.749
Nicholas Ferrar, Deacon, Founder of the Little Gidding Community, 1637

https://almanac.oremus.org/2023-12-04

Holy Communion
Isaiah 2.1-5
Psalm 122
Matthew 8.5-11

Morning Prayer
Psalms 50, 54 (or) 1, 2, 3
Isaiah 25.1-9
Matthew 12.1-21

Evening Prayer
Psalms 70, 71 (or) 4, 7
Isaiah 42.18-end
Revelation 19

Additional Weekday Lectionary
Malachi 3.1-6
Matthew 3.1-6

",3
"CW ","05/12/2023",TRUE,"https://almanac.oremus.org/2023-12-05

Holy Communion
Isaiah 11.1-10
Psalm 72.1-4, 18-19
Luke 10.21-24

Morning Prayer
Psalms 80, 82 (or) 5, 6, (8)
Isaiah 26.1-13
Matthew 12.22-37

Evening Prayer
Psalms 74, 75 (or) 9, 10*
Isaiah 43.1-13
Revelation 20

Additional Weekday Lectionary
Zephaniah 3.14-end
1 Thessalonians 4.13-end

",3
"CW Nicholas, c.326","06/12/2023",TRUE,"Nicholas, Bishop of Myra, c.326

https://almanac.oremus.org/2023-12-06

Exciting Holiness
Isaiah 61.1-3
Psalm 68.1, 2a, 3-7, 10
1 Timothy 6.6-11
Mark 10.13-16

Holy Communion
Isaiah 25.6-10a
Psalm 23
Matthew 15.29-37

Morning Prayer
Psalms 5, 7 (or) 119.1-32
Isaiah 28.1-13
Matthew 12.38-end

Evening Prayer
Psalms 76, 77 (or) 11, 12, 13
Isaiah 43.14-end
Revelation 21.1-8

Additional Weekday Lectionary
Isaiah 65.17 - 66.2
Matthew 24.1-14

",3
"CW Ambrose, 397","07/12/2023",TRUE,"Ambrose, Bishop of Milan, Teacher of the Faith, 397

https://almanac.oremus.org/2023-12-07

Exciting Holiness
Isaiah 41.9b-13
Psalm 20.1-6
2 Corinthians 5.16-21
Luke 22.24-30

Holy Communion
Isaiah 26.1-6
Psalm 118.18-27a
Matthew 7.21, 24-27

Morning Prayer
Psalms 42, 43 (or) 14, 15, 16
Isaiah 28.14-end
Matthew 13.1-23

Evening Prayer
Psalms 40, 46 (or) 18*
Isaiah 44.1-8
Revelation 21.9-21

Additional Weekday Lectionary
Micah 5.2-5a
John 3.16-21

",3
"CW Conception of the Blessed Virgin Mary","08/12/2023",TRUE,"The Conception of the Blessed Virgin Mary

https://almanac.oremus.org/2023-12-08

Exciting Holiness
Genesis 3.9-15, 20
Psalm 97.1, 2, 8-end
Ephesians 1.3-6, 11, 12
Luke 1.26-38

Holy Communion
Isaiah 29.17-end
Psalm 27.1-4, 16-17
Matthew 9.27-31

Morning Prayer
Psalms 25, 26 (or) 17, 19
Isaiah 29.1-14
Matthew 13.24-43

Evening Prayer
Psalms 16, 17 (or) 22
Isaiah 44.9-23
Revelation 21.22 - 22.5

Additional Weekday Lectionary
Isaiah 66.18-end
Luke 13.22-30

",3
"CW ","09/12/2023",TRUE,"https://almanac.oremus.org/2023-12-09

Holy Communion
Isaiah 30.19-21, 23-26
Psalm 146.4-9
Matthew 9.35 - 10.1, 6-8

Morning Prayer
Psalms 9, (10) (or) 20, 21, 23
Isaiah 29.15-end
Matthew 13.44-end

Evening Prayer
Psalms 27, 28 (or) 24, 25
Isaiah 44.24 - 45.13
Revelation 22.6-end

Additional Weekday Lectionary
Micah 7.8-15
Romans 15.30 - 16.7, 25-end

",3
"CW* Advent 2","10/12/2023",TRUE,"The Second Sunday of Advent

https://almanac.oremus.org/2023-12-10

Principal Service
Isaiah 40.1-11
Psalm 85.1-2, 8-13*
2 Peter 3.8-15a
Mark 1.1-8

Third Service
Psalm 80
Baruch 5.1-9 or 
Zephaniah 3.14-end
Luke 1.5-20

Second Service
Psalm 40*
1 Kings 22.1-28
Romans 15.4-13
Gospel at Holy Communion:
Matthew 11.2-11

",3
"CW ","11/12/2023",TRUE,"https://almanac.oremus.org/2023-12-11

Holy Communion
Isaiah 35
Psalm 85.7-end
Luke 5.17-26

Morning Prayer
Psalm 44 (or) 27, 30
Isaiah 30.1-18
Matthew 14.1-12

Evening Prayer
Psalms 144, 146 (or) 26, 28, 29
Isaiah 45.14-end
1 Thessalonians 1

Additional Weekday Lectionary
Jeremiah 7.1-11
Philippians 4.4-9

",3
